Potential (V)	Current (A)	Elapsed Time (s)	Frequency (Hz)	Zre (ohms)	Zim (ohms)	|Vac| (V)	|Iac| (A)	
3.4578869342804	-0.14996999502182	1280	0	0	0	0	0	
3.45758008956909	-0.149962306022644	1290	0	0	0	0	0	
3.45758008956909	-0.149962306022644	1300	0	0	0	0	0	
3.45665788650513	-0.149954602122307	1310	0	0	0	0	0	
3.45665788650513	-0.149954602122307	1320	0	0	0	0	0	
3.45635008811951	-0.149954602122307	1330	0	0	0	0	0	
3.45604300498962	-0.14996999502182	1340	0	0	0	0	0	
3.45512104034424	-0.149954602122307	1350	0	0	0	0	0	
3.45481395721436	-0.149977698922157	1360	0	0	0	0	0	
3.45512104034424	-0.149962306022644	1370	0	0	0	0	0	
3.45450711250305	-0.14996999502182	1380	0	0	0	0	0	
3.45389199256897	-0.149962306022644	1390	0	0	0	0	0	
3.45389199256897	-0.149954602122307	1400	0	0	0	0	0	
3.45358490943909	-0.149962306022644	1410	0	0	0	0	0	
3.45297002792358	-0.149962306022644	1420	0	0	0	0	0	
3.4526629447937	-0.149954602122307	1430	0	0	0	0	0	
3.4523549079895	-0.149962306022644	1440	0	0	0	0	0	
3.4520480632782	-0.149954602122307	1450	0	0	0	0	0	
3.45143389701843	-0.14996999502182	1460	0	0	0	0	0	
3.45143389701843	-0.14996999502182	1470	0	0	0	0	0	
3.45081901550293	-0.149977698922157	1480	0	0	0	0	0	
3.45051193237305	-0.149954602122307	1490	0	0	0	0	0	
3.45020389556885	-0.149954602122307	1500	0	0	0	0	0	
3.44928193092346	-0.149962306022644	1510	0	0	0	0	0	
3.44928193092346	-0.149954602122307	1520	0	0	0	0	0	
3.44897508621216	-0.149954602122307	1530	0	0	0	0	0	
3.44836091995239	-0.149962306022644	1540	0	0	0	0	0	
3.44805288314819	-0.14996999502182	1550	0	0	0	0	0	
3.44774603843689	-0.149977698922157	1560	0	0	0	0	0	
3.44743895530701	-0.149954602122307	1570	0	0	0	0	0	
3.44651699066162	-0.14996999502182	1580	0	0	0	0	0	
3.44590210914612	-0.14996999502182	1590	0	0	0	0	0	
3.44559502601624	-0.14996999502182	1600	0	0	0	0	0	
3.44497990608215	-0.14996999502182	1610	0	0	0	0	0	
3.44467306137085	-0.149954602122307	1620	0	0	0	0	0	
3.44405794143677	-0.149962306022644	1630	0	0	0	0	0	
3.44375109672546	-0.149962306022644	1640	0	0	0	0	0	
3.44313597679138	-0.149962306022644	1650	0	0	0	0	0	
3.4425220489502	-0.149962306022644	1660	0	0	0	0	0	
3.44190692901611	-0.14996999502182	1670	0	0	0	0	0	
3.44098496437073	-0.149954602122307	1680	0	0	0	0	0	
3.44067788124084	-0.14996999502182	1690	0	0	0	0	0	
3.43975591659546	-0.14996999502182	1700	0	0	0	0	0	
3.44006299972534	-0.149962306022644	1710	0	0	0	0	0	
3.43914198875427	-0.149962306022644	1720	0	0	0	0	0	
3.43822002410889	-0.149962306022644	1730	0	0	0	0	0	
3.43791198730469	-0.149977698922157	1740	0	0	0	0	0	
3.4369900226593	-0.149962306022644	1750	0	0	0	0	0	
3.43606901168823	-0.149962306022644	1760	0	0	0	0	0	
3.43576097488403	-0.14996999502182	1770	0	0	0	0	0	
3.43483901023865	-0.149954602122307	1780	0	0	0	0	0	
3.43391799926758	-0.14996999502182	1790	0	0	0	0	0	
3.43330311775208	-0.149954602122307	1800	0	0	0	0	0	
3.43268799781799	-0.149962306022644	1810	0	0	0	0	0	
3.43145895004272	-0.149962306022644	1820	0	0	0	0	0	
3.43084406852722	-0.149954602122307	1830	0	0	0	0	0	
3.42992305755615	-0.14996999502182	1840	0	0	0	0	0	
3.42900109291077	-0.149962306022644	1850	0	0	0	0	0	
3.42838597297668	-0.149962306022644	1860	0	0	0	0	0	
3.42715692520142	-0.14996999502182	1870	0	0	0	0	0	
3.42592811584473	-0.149962306022644	1880	0	0	0	0	0	
3.42592811584473	-0.14996999502182	1890	0	0	0	0	0	
3.42408394813538	-0.149962306022644	1900	0	0	0	0	0	
3.42316198348999	-0.149962306022644	1910	0	0	0	0	0	
3.4222400188446	-0.149977698922157	1920	0	0	0	0	0	
3.42101097106934	-0.149962306022644	1930	0	0	0	0	0	
3.41978192329407	-0.149954602122307	1940	0	0	0	0	0	
3.41855192184448	-0.149962306022644	1950	0	0	0	0	0	
3.4176299571991	-0.14996999502182	1960	0	0	0	0	0	
3.41609406471252	-0.14996999502182	1970	0	0	0	0	0	
3.41517210006714	-0.149962306022644	1980	0	0	0	0	0	
3.41424989700317	-0.149985402822495	1990	0	0	0	0	0	
3.4127140045166	-0.149947002530098	2000	0	0	0	0	0	
3.41179203987122	-0.14996999502182	2010	0	0	0	0	0	
3.41025495529175	-0.149962306022644	2020	0	0	0	0	0	
3.40871906280518	-0.149962306022644	2030	0	0	0	0	0	
3.40749001502991	-0.149962306022644	2040	0	0	0	0	0	
3.40656805038452	-0.149962306022644	2050	0	0	0	0	0	
3.40472388267517	-0.149977698922157	2060	0	0	0	0	0	
3.40349507331848	-0.149947002530098	2070	0	0	0	0	0	
3.4022650718689	-0.14996999502182	2080	0	0	0	0	0	
3.40042209625244	-0.14996999502182	2090	0	0	0	0	0	
3.39949989318848	-0.14996999502182	2100	0	0	0	0	0	
3.39796304702759	-0.149962306022644	2110	0	0	0	0	0	
3.39611911773682	-0.149962306022644	2120	0	0	0	0	0	
3.39519691467285	-0.149947002530098	2130	0	0	0	0	0	
3.39366102218628	-0.149962306022644	2140	0	0	0	0	0	
3.39212393760681	-0.149962306022644	2150	0	0	0	0	0	
3.39089488983154	-0.149954602122307	2160	0	0	0	0	0	
3.38905096054077	-0.149954602122307	2170	0	0	0	0	0	
3.3878219127655	-0.149962306022644	2180	0	0	0	0	0	
3.38597798347473	-0.149954602122307	2190	0	0	0	0	0	
